# Created by ProbestationMeasurement - Martin Friedl
# 2015-04-09 11:48:11
# Delay(init): 10ms, delay(after set): 0ms, delay(bef.read): 0ms, np. of points: 1ms, np. of measurements: 1, np. of setpoints: 10, 10

# LifeTest
# Read Device 0 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1215030,A06   Jun 20 2006 15:08:40/A02  /C/G@GPIB0::22,  --
# Read Device 1 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1169708,A06   Jun 20 2006 15:08:40/A02  /C/F@GPIB0::12,  --
# Set Device 0 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1169708,A06   Jun 20 2006 15:08:40/A02  /C/F@GPIB0::12,  --
Vgs	Vds	Is	t	R	P
V	V	A	s	ohms	W
K6487/K6517A	K6487/K6517A	K6487/K6517A	Time	Resistance	Power
0.000000e+00	0.000000e+00	3.201421e-10	1.069999e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	1.729999e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.037268e-10	2.440000e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.910383e-10	3.160000e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	3.809998e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	4.469998e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	5.149999e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	5.869999e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	6.559999e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	4.074536e-10	7.210000e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	8.309999e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	4.074536e-10	9.020000e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	4.074536e-10	9.729998e-01	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	1.042000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.910383e-10	1.107000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.910383e-10	1.176000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.037268e-10	1.250000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.783498e-10	1.380000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.037268e-10	1.444000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.037268e-10	1.510000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	1.623000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	1.697000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	1.760000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	1.830000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	1.908000e+00	0.000000e+00	0.000000e+00	
