# Created by ProbestationMeasurement - Martin Friedl
# 2015-04-14 17:14:14
# Delay(init): 10ms, delay(after set): 0ms, delay(bef.read): 0ms, np. of points: 1ms, np. of measurements: 1, np. of setpoints: 21, 1

# LifeTest
# Read Device 0 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1215030,A06   Jun 20 2006 15:08:40/A02  /C/G@GPIB0::22,  --
# Read Device 1 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1169708,A06   Jun 20 2006 15:08:40/A02  /C/F@GPIB0::12,  --
# Set Device 0 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1169708,A06   Jun 20 2006 15:08:40/A02  /C/F@GPIB0::12,  --
Vgs	Vds	Is	t	R	P
V	V	A	s	ohms	W
K6487/K6517A	K6487/K6517A	K6487/K6517A	Time	Resistance	Power
0.000000e+00	0.000000e+00	4.415664e-10	2.029998e-01	0.000000e+00	0.000000e+00	
0.000000e+00	-4.000000e-03	-3.777607e-09	4.319999e-01	1.058871e+06	1.511043e-11	
0.000000e+00	-8.000000e-03	-8.037700e-09	6.480000e-01	9.953096e+05	6.430160e-11	
0.000000e+00	-1.200000e-02	-1.329663e-08	8.659999e-01	9.024843e+05	1.595596e-10	
0.000000e+00	-1.600000e-02	-1.743057e-08	1.084000e+00	9.179275e+05	2.788891e-10	
0.000000e+00	-2.000000e-02	-2.192601e-08	1.303000e+00	9.121587e+05	4.385202e-10	
0.000000e+00	-1.600000e-02	-1.858112e-08	1.521000e+00	8.610891e+05	2.972979e-10	
0.000000e+00	-1.200000e-02	-1.453898e-08	1.739000e+00	8.253674e+05	1.744678e-10	
0.000000e+00	-8.000000e-03	-9.052073e-09	1.955000e+00	8.837755e+05	7.241658e-11	
0.000000e+00	-4.000000e-03	-4.568489e-09	2.172000e+00	8.755630e+05	1.827396e-11	
0.000000e+00	0.000000e+00	4.303237e-10	2.395000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	4.000000e-03	4.319872e-09	2.610000e+00	9.259534e+05	1.727949e-11	
0.000000e+00	8.000000e-03	8.106406e-09	2.825000e+00	9.868738e+05	6.485125e-11	
0.000000e+00	1.200000e-02	1.281706e-08	3.045000e+00	9.362522e+05	1.538047e-10	
0.000000e+00	1.600000e-02	1.647011e-08	3.264000e+00	9.714568e+05	2.635218e-10	
0.000000e+00	2.000000e-02	1.926731e-08	3.510000e+00	1.038028e+06	3.853462e-10	
0.000000e+00	1.600000e-02	1.631945e-08	3.728000e+00	9.804252e+05	2.611112e-10	
0.000000e+00	1.200000e-02	1.195170e-08	3.947000e+00	1.004041e+06	1.434204e-10	
0.000000e+00	8.000000e-03	7.934296e-09	4.163000e+00	1.008281e+06	6.347437e-11	
0.000000e+00	4.000000e-03	5.385854e-09	4.380000e+00	7.426863e+05	2.154342e-11	
0.000000e+00	0.000000e+00	4.711027e-10	4.588000e+00	0.000000e+00	0.000000e+00	
